...1,binom,Word1,Word2,Alpha Probs,Nonalpha Probs,checkpoint,ProbAandB,log_odds,Alpha,Nonalpha,OverallFreq,Word1_freq,Word2_freq,Weird?,Form,Percept,Culture,Power,Intense,Icon,Freq,Len,Lapse,no_final_stress,GenPref,y_vals,num_tokens,n_billion_tokens
0,kiwis and wolverines,kiwis,wolverines,-79.0390625,-77.9296875,step0-tokens0B,0.24798742624020276,-1.109375,kiwis and wolverines,wolverines and kiwis,0,1308423,1749798,no,0,0,0,-1,-1,0,-0.2906777575,1,-1,-1,0.4267182851400678,-0.2952532031401963,0B,0
1,kiwis and narwhals,kiwis,narwhals,-78.21875,-76.9375,step0-tokens0B,0.2173375210470625,-1.28125,kiwis and narwhals,narwhals and kiwis,0,1308423,86641,no,0,1,0,-1,-1,0,2.71480473,0,-1,-1,0.5145713912968594,0.058302074279009575,0B,0
2,kiwis and ocelots,kiwis,ocelots,-79.7578125,-78.46875,step0-tokens0B,0.21601153469447487,-1.2890625,kiwis and ocelots,ocelots and kiwis,0,1308423,84729,no,0,0,0,-1,0,0,2.737119946,0,-1,-1,0.4575999316064041,-0.17000857211651807,0B,0
3,ibex and kiwis,ibex,kiwis,-64.96875,-64.2734375,step0-tokens0B,0.33285232501292616,-0.6953125,ibex and kiwis,kiwis and ibex,0,405760,1308423,no,0,0,0,1,0,0,-1.170816022,0,1,0,0.4969075001181056,-0.01237015726610144,0B,0
4,harpies and kiwis,harpies,kiwis,-75.3359375,-77.2890625,step0-tokens0B,0.8757869916479467,1.953125,harpies and kiwis,kiwis and harpies,0,186488,1308423,no,0,-1,0,1,1,0,-1.94821098,0,0,0,0.4712148996666903,-0.11526785924400965,0B,0
5,axolotls and wolverines,axolotls,wolverines,-86.0546875,-88.3359375,step0-tokens0B,0.907312221360624,2.28125,axolotls and wolverines,wolverines and axolotls,0,118861,1749798,no,0,-1,0,-1,0,0,-2.689300889,-1,-1,-1,0.2620247369529563,-1.0354713899770773,0B,0
6,axolotls and ibex,axolotls,ibex,-73.7734375,-75.9453125,step0-tokens0B,0.8976952921073469,2.171875,axolotls and ibex,ibex and axolotls,0,118861,405760,no,0,-1,0,-1,0,0,-1.227807109,-2,-1,0,0.33121715141760155,-0.7026852095280117,0B,0
7,axolotls and harpies,axolotls,harpies,-90.0859375,-87.34375,step0-tokens0B,0.06052939020253899,-2.7421875,axolotls and harpies,harpies and axolotls,0,118861,186488,no,0,1,0,-1,-1,0,-0.4504121507,-2,0,0,0.41316611133534603,-0.35089207752444285,0B,0
8,axolotls and keas,axolotls,keas,-76.9609375,-78.2578125,step0-tokens0B,0.7853085808877581,1.296875,axolotls and keas,keas and axolotls,0,118861,41506,no,0,0,1,-1,0,0,1.052116748,-3,-1,1,0.5908236184577735,0.36737121314088894,0B,0
9,axolotls and bonobos,axolotls,bonobos,-87.7890625,-90.03125,step0-tokens0B,0.9039745112122062,2.2421875,axolotls and bonobos,bonobos and axolotls,0,118861,290761,no,0,-1,0,-1,0,0,-0.8945468807,-1,0,0,0.32836692114815236,-0.7155805326050524,0B,0
10,axolotls and wombats,axolotls,wombats,-78.15625,-78.0234375,step0-tokens0B,0.46684559533319187,-0.1328125,axolotls and wombats,wombats and axolotls,0,118861,228721,no,0,-1,0,-1,0,0,-0.654548177,-2,-1,-1,0.26622836149079915,-1.0138434186847471,0B,0
11,axolotls and lions,axolotls,lions,-66.3046875,-67.25,step0-tokens0B,0.7201715075418014,0.9453125,axolotls and lions,lions and axolotls,0,118861,19766321,no,0,-1,-1,-1,-1,0,-5.113780066,-2,0,0,0.1589667001970527,-1.6659365071109442,0B,0
12,ocelots and platypuses,ocelots,platypuses,-80.640625,-80.71875,step0-tokens0B,0.519521321952093,0.078125,ocelots and platypuses,platypuses and ocelots,0,84729,43558,no,0,1,-1,1,0,0,0.6653645446,1,3,1,0.5250262425985742,0.10018869231192418,0B,0
13,ibex and platypuses,ibex,platypuses,-66.1171875,-66.859375,step0-tokens0B,0.6774740169356274,0.7421875,ibex and platypuses,platypuses and ibex,0,405760,43558,no,0,1,0,1,0,0,2.231668468,2,3,1,0.6910321114827613,0.8049489428779834,0B,0
14,harpies and platypuses,harpies,platypuses,-77.7734375,-78.3984375,step0-tokens0B,0.6513548646660542,0.625,harpies and platypuses,platypuses and harpies,0,186488,43558,no,0,0,0,1,1,0,1.454273511,2,2,0,0.5846420329909703,0.3418590309856108,0B,0
15,keas and platypuses,keas,platypuses,-66.2265625,-69.2578125,step0-tokens0B,0.9539660976007596,3.03125,keas and platypuses,platypuses and keas,0,41506,43558,no,0,0,-1,0,0,0,-0.04825538823,3,3,1,0.4589454843044635,-0.16458860972505485,0B,0
16,bonobos and platypuses,bonobos,platypuses,-80.828125,-78.125,step0-tokens0B,0.06278920859705135,-2.703125,bonobos and platypuses,platypuses and bonobos,0,290761,43558,no,0,1,0,1,0,0,1.898408241,1,2,0,0.6124570309917737,0.4576520560662202,0B,0
