WordA,WordB,CollegeFreq,Sentence,Sentence (WordA and WordB),Sentence (WordB and WordA)
ability,age,11,"They questioned his X and Y in the interview, which he thought was unfair.","They questioned his ability and age in the interview, which he thought was unfair.","They questioned his age and ability in the interview, which he thought was unfair."
ability,desire,25,Maddie had both the X and Y to play college-level soccer.,Maddie had both the ability and desire to play college-level soccer.,Maddie had both the desire and ability to play college-level soccer.
ability,strength,19,Lisa had the X and Y to become a professional athlete.,Lisa had the ability and strength to become a professional athlete.,Lisa had the strength and ability to become a professional athlete.
action,character,17,Riley thought his lack of X and Y was too significant to overlook.,Riley thought his lack of action and character was too significant to overlook.,Riley thought his lack of character and action was too significant to overlook.
actions,feelings,29,He was confused because her X and Y were not matching up.,He was confused because her actions and feelings were not matching up.,He was confused because her feelings and actions were not matching up.
addresses,names,253,The company collected hundreds of X and Y for a petition they wanted to pass in June.,The company collected hundreds of addresses and names for a petition they wanted to pass in June.,The company collected hundreds of names and addresses for a petition they wanted to pass in June.
adventure,romance,21,The movie had a great balance of X and Y which made it a great success.,The movie had a great balance of adventure and romance which made it a great success.,The movie had a great balance of romance and adventure which made it a great success.
Africa,Asia,272,My colleague wanted to visit X and Y this year for a vacation with her husband.,My colleague wanted to visit Africa and Asia this year for a vacation with her husband.,My colleague wanted to visit Asia and Africa this year for a vacation with her husband.
age,day,92,Amanda said that in this X and Y you need to be tech-savy.,Amanda said that in this age and day you need to be tech-savy.,Amanda said that in this day and age you need to be tech-savy.
agencies,individuals,19,Many different X and Y worked together on this project.,Many different agencies and individuals worked together on this project.,Many different individuals and agencies worked together on this project.
aggression,hostility,16,"Sasha felt X and Y towards her brother, so she tried to avoid him.","Sasha felt aggression and hostility towards her brother, so she tried to avoid him.","Sasha felt hostility and aggression towards her brother, so she tried to avoid him."
agreements,contracts,21,Tony had to deal with many X and Y before he officially started working at the company.,Tony had to deal with many agreements and contracts before he officially started working at the company.,Tony had to deal with many contracts and agreements before he officially started working at the company.
aircraft,ships,27,The new X and Y ended up being extremely expensive.,The new aircraft and ships ended up being extremely expensive.,The new ships and aircraft ended up being extremely expensive.
ammunition,guns,52,The old man kept X and Y locked away in his basement in case of a zombie invasion.,The old man kept ammunition and guns locked away in his basement in case of a zombie invasion.,The old man kept guns and ammunition locked away in his basement in case of a zombie invasion.
anger,anxiety,18,Anne felt X and Y whenever she was stuck in traffic.,Anne felt anger and anxiety whenever she was stuck in traffic.,Anne felt anxiety and anger whenever she was stuck in traffic.
anger,fear,82,The abused dog showed both X and Y when animal control came to pick him up.,The abused dog showed both anger and fear when animal control came to pick him up.,The abused dog showed both fear and anger when animal control came to pick him up.
anger,hatred,27,Michelle felt a lot of X and Y towards her brother when he crashed her car.,Michelle felt a lot of anger and hatred towards her brother when he crashed her car.,Michelle felt a lot of hatred and anger towards her brother when he crashed her car.
anger,indignation,13,Amber felt X and Y after arguing with her sister.,Amber felt anger and indignation after arguing with her sister.,Amber felt indignation and anger after arguing with her sister.
anguish,pain,29,His injury caused him a lot of X and Y and a long recovery.,His injury caused him a lot of anguish and pain and a long recovery.,His injury caused him a lot of pain and anguish and a long recovery.
anthropology,psychology,15,He has figured out that X and Y are the subjects he wants to study in college.,He has figured out that anthropology and psychology are the subjects he wants to study in college.,He has figured out that psychology and anthropology are the subjects he wants to study in college.
apprehension,fear,18,Charlie felt X and Y before jumping out of the plane to skydive.,Charlie felt apprehension and fear before jumping out of the plane to skydive.,Charlie felt fear and apprehension before jumping out of the plane to skydive.
Arizona,California,40,The high school students visited both X and Y to tour colleges before they applied.,The high school students visited both Arizona and California to tour colleges before they applied.,The high school students visited both California and Arizona to tour colleges before they applied.
arms,hands,180,Both Chelsea's X and Y are scraped up from falling off her bike.,Both Chelsea's arms and hands are scraped up from falling off her bike.,Both Chelsea's hands and arms are scraped up from falling off her bike.
arms,legs,619,Sandra broke her X and Y because she got into a bike accident.,Sandra broke her arms and legs because she got into a bike accident.,Sandra broke her legs and arms because she got into a bike accident.
arts,crafts,421,Lilly enjoys doing X and Y to relax when she is stressed.,Lilly enjoys doing arts and crafts to relax when she is stressed.,Lilly enjoys doing crafts and arts to relax when she is stressed.
arts,sciences,574,"Carol couldn't decide between X and Y when applying for college majors, so she chose an interdisciplinary route.","Carol couldn't decide between arts and sciences when applying for college majors, so she chose an interdisciplinary route.","Carol couldn't decide between sciences and arts when applying for college majors, so she chose an interdisciplinary route."
