column_values,Freq
speed and firepower,100
gloom and foreboding,100
education and industrialization,100
materialism and commercialism,100
humiliation and abasement,100
intonation and phrasing,25
excuses and alibis,100
color and imagery,100
hate and blame,100
liberalism and progress,52
disdain and indifference,1
gaiety and spirit,52
caresses and endearments,50
flight and terror,100
letters and magazines,67
men and women,100
black and white,100
day and night,100
boys and girls,100
left and right,100
male and female,100
mr and mrs,100
father and mother,14
goods and services,100
north and south,100
research and development,100
time and place,100
life and death,100
brothers and sisters,100
husband and wife,100
bread and butter,100
